OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21859;ASOCIACIÓN EMPRESARIAL DE RESIDENCIAS Y SERVICIOS SOCIALES DE LA COMUNIDAD VALENCIANA - AERTE;721325.926;4375349.787;001400;76320;2;963571710;"{""coordinates"": [-0.4260075931350785, 39.4992962065423], ""type"": ""Point""}";39.4992962065423, -0.4260075931350785
21887;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES NOU BENICALAP;724700.734;4374853.063;009583;33210;33;962083611;"{""coordinates"": [-0.3869645247487299, 39.49394984150769], ""type"": ""Point""}";39.49394984150769, -0.3869645247487299
21899;CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES ASSOCIACIÓ INTEGRAL DE MALALTS MAJORS DE CARPESA;725485.006;4377561.258;009575;70650;14;961858916;"{""coordinates"": [-0.37693624306877904, 39.51812134839993], ""type"": ""Point""}";39.51812134839993, -0.37693624306877904
21903;AVIM-CV. ASOCIACIÓN VOLUNTARIOS INFORMÁTICA MAYORES COMUNIDAD VALENCIANA;725251.693;4373024.616;009548;67530;8;963926216;"{""coordinates"": [-0.38118153762120144, 39.47734755951508], ""type"": ""Point""}";39.47734755951508, -0.38118153762120144
21915;CENTRO GERIÁTRICO SAN JUAN;723741.245;4373016.682;010009;81156;30;963272347;"{""coordinates"": [-0.3987279230855406, 39.47767018351867], ""type"": ""Point""}";39.47767018351867, -0.3987279230855406
21917;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES EL CARMEN;725353.49;4373176.37;003433;4770;S/N;962084790;"{""coordinates"": [-0.379947881245084, 39.47868688597581], ""type"": ""Point""}";39.47868688597581, -0.379947881245084
21925;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BENIMÀMET;721980.26;4375630.66;003426;42810;S/N;963479497;"{""coordinates"": [-0.4183114494297648, 39.50165575179118], ""type"": ""Point""}";39.50165575179118, -0.4183114494297648
21926;INSTITUTO GERIÁTRICO VALENCIANO, S.L;729609.33;4373793.738;009598;81176;60;963563122;"{""coordinates"": [-0.33030507720399543, 39.483118662658796], ""type"": ""Point""}";39.483118662658796, -0.33030507720399543
21933;CLUB DE JUBILADOS Y PENSIONISTAS LA PAZ;725326.609;4374535.087;003507;53640;62;963323678;"{""coordinates"": [-0.37980089308195997, 39.49092394550274], ""type"": ""Point""}";39.49092394550274, -0.37980089308195997
22003;GABINETE TÉCNICO DE TRABAJO SOCIAL S.L.;726182.027;4372120.396;009639;37320;8;963518377;"{""coordinates"": [-0.3706825590442822, 39.46896455497844], ""type"": ""Point""}";39.46896455497844, -0.3706825590442822
22009;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES NAZARET;729464.414;4369947.987;003454;6180;4;962087420;"{""coordinates"": [-0.33331075406782296, 39.448542301049855], ""type"": ""Point""}";39.448542301049855, -0.33331075406782296
22011;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES VIVEROS;726217.73558746;4373497.06611733;003467;81129;17;963620333;"{""coordinates"": [-0.3698009459660181, 39.48134672587371], ""type"": ""Point""}";39.48134672587371, -0.3698009459660181
22017;CEAM ISLAS CANARIAS;728703.076;4371438.946;003413;52770;3;963304342;"{""coordinates"": [-0.3416388704139845, 39.462164785561725], ""type"": ""Point""}";39.462164785561725, -0.3416388704139845
23484;CENTRO RESIDENCIAL DE TERCERA EDAD LA SEU;726094.521;4372818.644;003468;33960;21;963921653;"{""coordinates"": [-0.3714621370632839, 39.4752725587882], ""type"": ""Point""}";39.4752725587882, -0.3714621370632839
23493;KUIDALIA;725617.322;4371449.102;009599;33630;49;963415633;"{""coordinates"": [-0.3774676495983328, 39.463070315013546], ""type"": ""Point""}";39.463070315013546, -0.3774676495983328
23536;GESTIÓ SOCIOSANITARIA AL MEDITARRANI, S.L. (GESMED);;;009641;81652;10;963152140;;
23547;CVIDA. ASOCIACIÓN PARA EL CUIDADO DE LA CALIDAD DE VIDA;729363.79;4373327.76;009595;75150;S/N;963879159;"{""coordinates"": [-0.33331735667516627, 39.47898994947147], ""type"": ""Point""}";39.47898994947147, -0.33331735667516627
23592;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES LA TORRE;724360.07340094;4368225.03542788;003448;10290;9;963963248;"{""coordinates"": [-0.393150532576662, 39.43437803158036], ""type"": ""Point""}";39.43437803158036, -0.393150532576662
23602;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BENIMACLET;727142.2898973;4374780.55413469;007840;26820;87;962083634;"{""coordinates"": [-0.3586246337317823, 39.49265584043699], ""type"": ""Point""}";39.49265584043699, -0.3586246337317823
23657;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES TRINITAT;726073.25031168;4373743.8205764;007351;20520;1;963278293;"{""coordinates"": [-0.37139552851261365, 39.48360576369089], ""type"": ""Point""}";39.48360576369089, -0.37139552851261365
23659;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES MASSARROJOS;723085.8097307;4379870.05270181;003453;22260;10;961822739;"{""coordinates"": [-0.4040447442237506, 39.53952964270949], ""type"": ""Point""}";39.53952964270949, -0.4040447442237506
23664;INFOCIUDAD - SERCOVAL. GRUPO SERCOVAL;726697.83110733;4373758.77212331;006772;17790;S/N;963555233;"{""coordinates"": [-0.36413550009304196, 39.483575999792116], ""type"": ""Point""}";39.483575999792116, -0.36413550009304196
23666;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES MALILLA;725721.67576619;4370564.56566391;003540;40170;18;963343455;"{""coordinates"": [-0.37655495971425257, 39.45508109519492], ""type"": ""Point""}";39.45508109519492, -0.37655495971425257
23725;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES TRAFALGAR;728397.12869193;4371351.43938107;003569;73560;34;962082720;"{""coordinates"": [-0.3452214537828212, 39.461458353708295], ""type"": ""Point""}";39.461458353708295, -0.3452214537828212
23743;CIMA. FEDERACIÓN DE ASOCIACIONES DE CIUDADANOS MAYORES DE LA COMUNIDAD VALENCIANA;725491.175;4373216.682;010198;65790;27;963925251;"{""coordinates"": [-0.37833506376735837, 39.479013658691], ""type"": ""Point""}";39.479013658691, -0.37833506376735837
23750;RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES NUESTRA SEÑORA DE LOS DESAMPARADOS;723550.022;4371744.782;009666;51420;39;963708050;"{""coordinates"": [-0.4013752178753198, 39.46627108216833], ""type"": ""Point""}";39.46627108216833, -0.4013752178753198
23751;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES FORTUNY VALENCIA;726156.034;4373394.581;009669;30420;6;963611300;"{""coordinates"": [-0.37055239232568943, 39.48044046689964], ""type"": ""Point""}";39.48044046689964, -0.37055239232568943
23752;CLUB DE JUBILADOS Y PENSIONISTAS LA ISLA;728676.05;4372388.25;003506;41100;S/N;963561188;"{""coordinates"": [-0.34162740964305666, 39.47071655536613], ""type"": ""Point""}";39.47071655536613, -0.34162740964305666
23753;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES JARDINES DEL PALAU;726734.576;4371969.168;009670;19920;56;963162300;"{""coordinates"": [-0.364317050777059, 39.46745797906119], ""type"": ""Point""}";39.46745797906119, -0.364317050777059
23755;SERHOGARSYSTEM. SERVICIO DOMÉSTICO ASISTENCIAL;725525.457;4372226.929;009674;69330;57;963940058;"{""coordinates"": [-0.37827152973204453, 39.47009574379604], ""type"": ""Point""}";39.47009574379604, -0.37827152973204453
23806;CLUB DE JUBILADOS Y PENSIONISTAS SAN ISIDRO;723083.156;4370289.997;003510;67860;4;963777132;"{""coordinates"": [-0.4072832266186531, 39.45329709299124], ""type"": ""Point""}";39.45329709299124, -0.4072832266186531
23808;CENTRO SOCIO-SANITARIO NUESTRA SEÑORA DEL CARMEN;730063.823;4372803.839;003469;29190;156;963712211;"{""coordinates"": [-0.32536752864538754, 39.474087397171154], ""type"": ""Point""}";39.474087397171154, -0.32536752864538754
23809;CENTRE GESTOR D'AJUDA FAMILIAR S.L. (GRANS I XIQUETS);727085.211;4370931.685;009563;59610;103;963236336;"{""coordinates"": [-0.3605981433970007, 39.45802711442028], ""type"": ""Point""}";39.45802711442028, -0.3605981433970007
23877;ASOCIACIÓN GRUPO MAYORES DE TELEFÓNICA-AGMT;729258.309;4371313.953;001405;25680;269;963675941;"{""coordinates"": [-0.3352345141795448, 39.4608920818864], ""type"": ""Point""}";39.4608920818864, -0.3352345141795448
