id;Año;Sexo;Distrito;Valor;Fecha creacion;Fecha baja
1;2009;Ambos;Todos;81.35;2023-07-02;NA
2;2009;Hombres;Todos;78.04;2023-07-02;NA
8;2009;Ambos;LA SAIDIA;81.96;2023-07-02;NA
9;2009;Ambos;EL PLA DEL REAL;84.0;2023-07-02;NA
11;2009;Ambos;PATRAIX;81.88;2023-07-02;NA
14;2009;Ambos;POBLATS MARITIMS;79.58;2023-07-02;NA
15;2009;Ambos;CAMINS AL GRAU;81.69;2023-07-02;NA
17;2009;Ambos;BENIMACLET;82.69;2023-07-02;NA
20;2009;Ambos;POBLATS DE L'OEST;80.76;2023-07-02;NA
21;2009;Ambos;POBLATS DE L'OEST;81.51;2023-07-02;NA
22;2009;Ambos;POBLATS DEL NORD;82.13;2023-07-02;NA
24;2010;Hombres;Todos;78.41;2023-07-02;NA
27;2010;Ambos;L'EIXAMPLE;82.47;2023-07-02;NA
28;2010;Ambos;EXTRAMURS;82.72;2023-07-02;NA
32;2010;Ambos;L'OLIVERETA;81.54;2023-07-02;NA
33;2010;Ambos;PATRAIX;81.96;2023-07-02;NA
34;2010;Ambos;JESUS;81.75;2023-07-02;NA
35;2010;Ambos;QUATRE CARRERES;81.83;2023-07-02;NA
36;2010;Ambos;POBLATS MARITIMS;79.81;2023-07-02;NA
39;2010;Ambos;BENIMACLET;82.66;2023-07-02;NA
42;2010;Ambos;POBLATS DE L'OEST;80.68;2023-07-02;NA
45;2011;Ambos;Todos;81.91;2023-07-02;NA
47;2011;Mujeres;Todos;84.81;2023-07-02;NA
51;2011;Ambos;CAMPANAR;82.74;2023-07-02;NA
53;2011;Ambos;EL PLA DEL REAL;84.1;2023-07-02;NA
61;2011;Ambos;BENIMACLET;82.86;2023-07-02;NA
63;2011;Ambos;BENICALAP;82.14;2023-07-02;NA
66;2011;Ambos;POBLATS DEL NORD;81.71;2023-07-02;NA
72;2012;Ambos;EXTRAMURS;83.25;2023-07-02;NA
80;2012;Ambos;POBLATS MARITIMS;80.68;2023-07-02;NA
81;2012;Ambos;CAMINS AL GRAU;82.46;2023-07-02;NA
82;2012;Ambos;ALGIROS;83.28;2023-07-02;NA
85;2012;Ambos;BENICALAP;82.64;2023-07-02;NA
87;2012;Ambos;POBLATS DE L'OEST;82.09;2023-07-02;NA
91;2013;Mujeres;Todos;85.13;2023-07-02;NA
95;2013;Ambos;CAMPANAR;83.53;2023-07-02;NA
100;2013;Ambos;JESUS;82.22;2023-07-02;NA
102;2013;Ambos;POBLATS MARITIMS;81.03;2023-07-02;NA
110;2013;Ambos;POBLATS DEL NORD;81.51;2023-07-02;NA
111;2014;Ambos;Todos;82.74;2023-07-02;NA
114;2014;Ambos;CIUTAT VELLA;81.73;2023-07-02;NA
118;2014;Ambos;LA SAIDIA;83.27;2023-07-02;NA
121;2014;Ambos;PATRAIX;83.31;2023-07-02;NA
122;2014;Ambos;JESUS;82.63;2023-07-02;NA
123;2014;Ambos;QUATRE CARRERES;82.37;2023-07-02;NA
124;2014;Ambos;POBLATS MARITIMS;81.53;2023-07-02;NA
128;2014;Ambos;RASCANYA;82.73;2023-07-02;NA
131;2014;Ambos;POBLATS DE L'OEST;82.37;2023-07-02;NA
132;2014;Ambos;POBLATS DEL NORD;82.19;2023-07-02;NA
133;2015;Ambos;Todos;82.8;2023-07-02;NA
136;2015;Ambos;CIUTAT VELLA;82.17;2023-07-02;NA
139;2015;Ambos;CAMPANAR;83.58;2023-07-02;NA
142;2015;Ambos;L'OLIVERETA;82.68;2023-07-02;NA
144;2015;Ambos;JESUS;83.35;2023-07-02;NA
145;2015;Ambos;QUATRE CARRERES;82.72;2023-07-02;NA
146;2015;Ambos;POBLATS MARITIMS;81.4;2023-07-02;NA
153;2015;Ambos;POBLATS DE L'OEST;82.8;2023-07-02;NA
159;2016;Ambos;L'EIXAMPLE;83.93;2023-07-02;NA
161;2016;Ambos;CAMPANAR;83.65;2023-07-02;NA
168;2016;Ambos;POBLATS MARITIMS;81.88;2023-07-02;NA
169;2016;Ambos;CAMINS AL GRAU;83.58;2023-07-02;NA
172;2016;Ambos;RASCANYA;83.47;2023-07-02;NA
173;2016;Ambos;BENICALAP;82.87;2023-07-02;NA
177;2017;Ambos;Todos;83.15;2023-07-02;NA
178;2017;Hombres;Todos;80.18;2023-07-02;NA
180;2017;Ambos;CIUTAT VELLA;82.01;2023-07-02;NA
182;2017;Ambos;EXTRAMURS;84.02;2023-07-02;NA
184;2017;Ambos;LA SAIDIA;82.92;2023-07-02;NA
185;2017;Ambos;EL PLA DEL REAL;85.26;2023-07-02;NA
186;2017;Ambos;L'OLIVERETA;82.58;2023-07-02;NA
