Id. Falla;OBJECTID;geo_shape;geo_point_2d
352;2836;"{""coordinates"": [[[-0.3584446951876815, 39.492106458564145], [-0.3583092812607287, 39.49209435048971], [-0.35834852266402784, 39.491868565498514], [-0.3584917898627917, 39.49187659902878], [-0.3584446951876815, 39.492106458564145]]], ""type"": ""Polygon""}";39.4919855584806, -0.358398985994428
41;2838;"{""coordinates"": [[[-0.3762489488152314, 39.46119090582582], [-0.3760642561856671, 39.46126951437264], [-0.37578645657111986, 39.461386463530694], [-0.3756134850511686, 39.46145891182976], [-0.37542608532742044, 39.461538078918444], [-0.3753378506271382, 39.461410856640626], [-0.375537484216064, 39.46132619311577], [-0.37582459140809843, 39.46120502238472], [-0.3760259838885585, 39.46112019051683], [-0.3761603646226188, 39.46106367626598], [-0.3762489488152314, 39.46119090582582]]], ""type"": ""Polygon""}";39.461300770589624, -0.3757935974742522
90;2840;"{""coordinates"": [[[-0.372538148990062, 39.483805995719464], [-0.37255024204060405, 39.483791947910746], [-0.3734516633034916, 39.48387327748111], [-0.3734444325045531, 39.48396326306221], [-0.37251543099389195, 39.483879819739585], [-0.372538148990062, 39.483805995719464]]], ""type"": ""Polygon""}";39.483877095210126, -0.37298851349962864
285;2842;"{""coordinates"": [[[-0.35198860537482585, 39.468429773311996], [-0.35147042333445483, 39.468277247823686], [-0.35134050343868295, 39.46823931296019], [-0.3505404290570522, 39.468002587316825], [-0.3506364480355133, 39.46779308754105], [-0.3509607849766443, 39.467891685992086], [-0.35107230257793953, 39.46792401276314], [-0.3520790489984287, 39.468228628826594], [-0.35198860537482585, 39.468429773311996]]], ""type"": ""Polygon""}";39.468112115896204, -0.3513061073687126
304;2843;"{""coordinates"": [[[-0.33876317070009515, 39.46100079805954], [-0.33877726087179744, 39.46091166196287], [-0.3388231922448178, 39.46062433263765], [-0.33888343580383645, 39.460196335846284], [-0.33893302969460676, 39.45993778499761], [-0.33911437689758483, 39.45997131480331], [-0.33904997625762306, 39.46037523074727], [-0.33899467411416623, 39.460723469133676], [-0.33894798012677846, 39.461013687292706], [-0.33876317070009515, 39.46100079805954]]], ""type"": ""Polygon""}";39.46047787724186, -0.33893848441814295
37;2846;"{""coordinates"": [[[-0.37950953514383123, 39.478108290313735], [-0.37955618858595686, 39.477869902182775], [-0.3795918626883191, 39.47787757493595], [-0.3796986122996413, 39.47788410989977], [-0.3797099851972951, 39.478013394775246], [-0.37956211195424644, 39.47802313927849], [-0.37954529724847075, 39.47811433447541], [-0.37950953514383123, 39.478108290313735]]], ""type"": ""Polygon""}";39.477966117006154, -0.37960977131265844
306;2848;"{""coordinates"": [[[-0.3455912003048784, 39.471795044756284], [-0.34564764686378724, 39.471676811366954], [-0.3459955756925338, 39.47177658694547], [-0.3459391284279796, 39.4718948213928], [-0.3455912003048784, 39.471795044756284]]], ""type"": ""Polygon""}";39.47178581618834, -0.34579338809653415
227;2849;"{""coordinates"": [[[-0.38099256164305484, 39.491768358070594], [-0.38130972625819043, 39.49263260964073], [-0.3811416769400921, 39.49267468222864], [-0.3808995283844982, 39.49203004707595], [-0.3808135180234167, 39.49180806083092], [-0.38099256164305484, 39.491768358070594]]], ""type"": ""Polygon""}";39.49221732341768, -0.3810634335769319
380;2851;"{""coordinates"": [[[-0.34656462919766895, 39.45781267106209], [-0.34662862471129724, 39.45764243398433], [-0.34763932292423577, 39.457862062518494], [-0.3475724277844153, 39.458032238500614], [-0.34656462919766895, 39.45781267106209]]], ""type"": ""Polygon""}";39.45783737014155, -0.34710152555840823
75;2856;"{""coordinates"": [[[-0.37509168811316845, 39.48513173032098], [-0.37525179884227505, 39.485145981023784], [-0.3754874074311792, 39.48516677716352], [-0.3754729552157198, 39.485246394633464], [-0.37507835519836025, 39.48522144843831], [-0.37509168811316845, 39.48513173032098]]], ""type"": ""Polygon""}";39.485191264360765, -0.3752787627734292
