OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21852;MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD - MPDL;725485.426;4373761.124;005387;41430;28;963821531;"{""coordinates"": [-0.37821772242364043, 39.483915772808515], ""type"": ""Point""}";39.483915772808515, -0.37821772242364043
21958;ASOCIACIÓN PROMIS. PROFESIONALES DEL MUNDO POR LA INTEGRACIÓN SOCIAL;725388.057;4372172.52;009522;8790;48;670956662;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
22043;SERVICIO JESUITA A MIGRANTES ESPAÑA- DELEGACIÓN VALENCIA;724565.125;4372923.958;010076;30000;78;963152220;"{""coordinates"": [-0.38918981690450055, 39.47662094971592], ""type"": ""Point""}";39.47662094971592, -0.38918981690450055
23403;ASOCIACIÓN INMIGRANTES ARGENTINOS EN VALENCIA;727138.586;4373879.236;001957;63960;39;632473029;"{""coordinates"": [-0.3589748070136611, 39.48454405043255], ""type"": ""Point""}";39.48454405043255, -0.3589748070136611
23443;ASOCIACIÓN CULTURAL RUSA ESTRELLA DEL NORTE;724864.511;4372694.969;009494;10320;18;640524320;"{""coordinates"": [-0.39838890818936634, 39.48288351805523], ""type"": ""Point""}";39.48288351805523, -0.39838890818936634
23444;ASOCIACIÓN DE PARAGUAYOS/AS GUARANI DE VALENCIA;725538.794;4373182.864;009511;69780;6;637023755;"{""coordinates"": [-0.3777934044410647, 39.478696777934076], ""type"": ""Point""}";39.478696777934076, -0.3777934044410647
23522;PROYECTO MARE - FUNDACIÓN ESYCU;729536.42;4370204.62;009605;81444;5;963390533;"{""coordinates"": [-0.332386591475977, 39.450833038509124], ""type"": ""Point""}";39.450833038509124, -0.332386591475977
23615;ASOCIACION ABAY PARA EL DESARROLLO EN ETIOPIA;726470.811;4374613.73;010128;25980;36;619955477;"{""coordinates"": [-0.3664820218600549, 39.491331316825864], ""type"": ""Point""}";39.491331316825864, -0.3664820218600549
23692;ASOCIACIÓN INTERCULTURAL CANDOMBE;723697.811;4372411.465;010135;12180;38;963843339;"{""coordinates"": [-0.39943539155952734, 39.47223372488175], ""type"": ""Point""}";39.47223372488175, -0.39943539155952734
23765;AHSCV. ASOCIACIÓN HISPANO SIRIA DE LA COMUNIDAD VALENCIANA;727896.339;4373143.004;009466;76560;13;629320019;"{""coordinates"": [-0.33703072982952903, 39.47277895377975], ""type"": ""Point""}";39.47277895377975, -0.33703072982952903
23805;FAMILIAS ALTERNATIVAS DE TRANSICIÓN DE L'HORTA NORD;725256.0;4372616.098;009801;58140;19;605304457;"{""coordinates"": [-0.3812694815424072, 39.47366928540907], ""type"": ""Point""}";39.47366928540907, -0.3812694815424072
23840;DEPARTAMENTO DE ATENCIÓN AL INMIGRANTE DEL SINDICATO CSI-CSIF;723310.49;4370137.81;003706;23430;49;963170805;"{""coordinates"": [-0.4046580004180379, 39.451833000243894], ""type"": ""Point""}";39.451833000243894, -0.4046580004180379
23875;AN-NUR. ASOCIACIÓN DE MUJERES MUSULMANAS;726126.473;4374763.321;010192;6870;19;963630330;"{""coordinates"": [-0.370431443321535, 39.49276839235483], ""type"": ""Point""}";39.49276839235483, -0.370431443321535
23876;PROYSO-PROMOCIÓN Y SOLIDARIDAD CON LOS EMPOBRECIDOS DEL TERCER MUNDO;725319.52;4372684.35;005395;25620;S/N;963915186;"{""coordinates"": [-0.3805086960831497, 39.474266989320284], ""type"": ""Point""}";39.474266989320284, -0.3805086960831497
23987;ASOCIACIÓN DE LOS SIERRA LEONESES EN LA COMUNIDAD VALENCIANA;724534.205;4371759.471;009718;31200;2;677357957;"{""coordinates"": [-0.3899408879398741, 39.46614717393969], ""type"": ""Point""}";39.46614717393969, -0.3899408879398741
23991;ASOCIACIÓN CÍVICA CENTRO DE CULTURA POLACA EN VALENCIA;725501.833;4371684.062;009728;8040;38;664493679;"{""coordinates"": [-0.3787293594169366, 39.465215489286756], ""type"": ""Point""}";39.465215489286756, -0.3787293594169366
24016;UNIÓN DE COMUNIDADES ISLÁMICAS DE VALENCIA;729157.49;4371153.33;003411;47670;47;963309303;"{""coordinates"": [-0.33646035503769534, 39.459473149554825], ""type"": ""Point""}";39.459473149554825, -0.33646035503769534
