OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
311505;1;"{""coordinates"": [-0.3473025123468072, 39.45891573195377], ""type"": ""Point""}";39.45891573195377, -0.3473025123468072
311517;1;"{""coordinates"": [-0.37473080268180037, 39.49812775673777], ""type"": ""Point""}";39.49812775673777, -0.37473080268180037
311520;1;"{""coordinates"": [-0.32869374329407286, 39.468034142837574], ""type"": ""Point""}";39.468034142837574, -0.32869374329407286
311522;1;"{""coordinates"": [-0.3792472597739436, 39.47233196208933], ""type"": ""Point""}";39.47233196208933, -0.3792472597739436
311523;2;"{""coordinates"": [-0.37948333774374204, 39.47238803243218], ""type"": ""Point""}";39.47238803243218, -0.37948333774374204
311524;2;"{""coordinates"": [-0.4004045336970554, 39.469574443600806], ""type"": ""Point""}";39.469574443600806, -0.4004045336970554
311526;1;"{""coordinates"": [-0.35994392497929656, 39.47594129137872], ""type"": ""Point""}";39.47594129137872, -0.35994392497929656
311527;1;"{""coordinates"": [-0.34607086465274095, 39.4605619553844], ""type"": ""Point""}";39.4605619553844, -0.34607086465274095
311536;1;"{""coordinates"": [-0.33354963496178786, 39.464676595050975], ""type"": ""Point""}";39.464676595050975, -0.33354963496178786
311538;1;"{""coordinates"": [-0.3896263892361719, 39.4869158266946], ""type"": ""Point""}";39.4869158266946, -0.3896263892361719
311540;1;"{""coordinates"": [-0.3832685176860708, 39.48363887458824], ""type"": ""Point""}";39.48363887458824, -0.3832685176860708
311541;1;"{""coordinates"": [-0.3685194133853641, 39.465730940856105], ""type"": ""Point""}";39.465730940856105, -0.3685194133853641
311546;1;"{""coordinates"": [-0.40352393245053897, 39.45190027492254], ""type"": ""Point""}";39.45190027492254, -0.40352393245053897
311549;1;"{""coordinates"": [-0.395729331367158, 39.482064690008976], ""type"": ""Point""}";39.482064690008976, -0.395729331367158
311550;1;"{""coordinates"": [-0.3954753026038704, 39.46235146117621], ""type"": ""Point""}";39.46235146117621, -0.3954753026038704
311552;1;"{""coordinates"": [-0.36457061236537874, 39.45581165969009], ""type"": ""Point""}";39.45581165969009, -0.36457061236537874
311554;1;"{""coordinates"": [-0.39318328405753483, 39.456827395697516], ""type"": ""Point""}";39.456827395697516, -0.39318328405753483
311557;1;"{""coordinates"": [-0.36804522536580386, 39.4572572942798], ""type"": ""Point""}";39.4572572942798, -0.36804522536580386
311558;1;"{""coordinates"": [-0.3899250885746892, 39.450641459351324], ""type"": ""Point""}";39.450641459351324, -0.3899250885746892
311560;1;"{""coordinates"": [-0.37854418523899763, 39.48390336390993], ""type"": ""Point""}";39.48390336390993, -0.37854418523899763
311563;1;"{""coordinates"": [-0.4176750295557052, 39.49912212666483], ""type"": ""Point""}";39.49912212666483, -0.4176750295557052
311568;1;"{""coordinates"": [-0.39409092023349024, 39.48222573874391], ""type"": ""Point""}";39.48222573874391, -0.39409092023349024
311589;1;"{""coordinates"": [-0.3655740354217062, 39.4280533075982], ""type"": ""Point""}";39.4280533075982, -0.3655740354217062
311590;1;"{""coordinates"": [-0.3283980968050121, 39.48171782362925], ""type"": ""Point""}";39.48171782362925, -0.3283980968050121
311591;1;"{""coordinates"": [-0.3703035229342807, 39.44744447808269], ""type"": ""Point""}";39.44744447808269, -0.3703035229342807
311593;1;"{""coordinates"": [-0.39830928907387014, 39.48162581686807], ""type"": ""Point""}";39.48162581686807, -0.39830928907387014
311595;1;"{""coordinates"": [-0.3602628684240497, 39.48740805904043], ""type"": ""Point""}";39.48740805904043, -0.3602628684240497
311600;1;"{""coordinates"": [-0.40657746268371103, 39.46574349064967], ""type"": ""Point""}";39.46574349064967, -0.40657746268371103
311603;1;"{""coordinates"": [-0.3245938378910544, 39.38050879231024], ""type"": ""Point""}";39.38050879231024, -0.3245938378910544
311604;3;"{""coordinates"": [-0.32440068393322447, 39.380465087444605], ""type"": ""Point""}";39.380465087444605, -0.32440068393322447
311606;1;"{""coordinates"": [-0.3373505959457776, 39.42221022719635], ""type"": ""Point""}";39.42221022719635, -0.3373505959457776
311611;1;"{""coordinates"": [-0.3703406802493362, 39.49105853818649], ""type"": ""Point""}";39.49105853818649, -0.3703406802493362
311612;1;"{""coordinates"": [-0.33562181523941526, 39.46870573463147], ""type"": ""Point""}";39.46870573463147, -0.33562181523941526
311616;1;"{""coordinates"": [-0.37535621905523586, 39.44572200340491], ""type"": ""Point""}";39.44572200340491, -0.37535621905523586
311618;1;"{""coordinates"": [-0.32953739105757196, 39.482530500248735], ""type"": ""Point""}";39.482530500248735, -0.32953739105757196
311619;1;"{""coordinates"": [-0.38037087221583304, 39.483206712512604], ""type"": ""Point""}";39.483206712512604, -0.38037087221583304
311621;1;"{""coordinates"": [-0.3771183882517344, 39.487365767128324], ""type"": ""Point""}";39.487365767128324, -0.3771183882517344
311624;1;"{""coordinates"": [-0.3307851679009682, 39.46248621381824], ""type"": ""Point""}";39.46248621381824, -0.3307851679009682
311627;1;"{""coordinates"": [-0.3883399276429788, 39.48757352474475], ""type"": ""Point""}";39.48757352474475, -0.3883399276429788
311631;1;"{""coordinates"": [-0.37360303522969485, 39.46637959418617], ""type"": ""Point""}";39.46637959418617, -0.37360303522969485
311635;1;"{""coordinates"": [-0.3767094118846107, 39.49338982715718], ""type"": ""Point""}";39.49338982715718, -0.3767094118846107
311639;1;"{""coordinates"": [-0.38967011419408937, 39.448149599265925], ""type"": ""Point""}";39.448149599265925, -0.38967011419408937
311640;1;"{""coordinates"": [-0.38970023597757364, 39.44800893601248], ""type"": ""Point""}";39.44800893601248, -0.38970023597757364
311644;2;"{""coordinates"": [-0.37719823742209574, 39.4830640842943], ""type"": ""Point""}";39.4830640842943, -0.37719823742209574
311646;1;"{""coordinates"": [-0.4214174523515883, 39.50057796028411], ""type"": ""Point""}";39.50057796028411, -0.4214174523515883
311649;1;"{""coordinates"": [-0.3348536749534482, 39.45169330959477], ""type"": ""Point""}";39.45169330959477, -0.3348536749534482
311654;1;"{""coordinates"": [-0.4015617629153697, 39.46987247197842], ""type"": ""Point""}";39.46987247197842, -0.4015617629153697
311657;1;"{""coordinates"": [-0.3615647103496428, 39.48467583909475], ""type"": ""Point""}";39.48467583909475, -0.3615647103496428
311660;1;"{""coordinates"": [-0.3945163139211465, 39.48104707887671], ""type"": ""Point""}";39.48104707887671, -0.3945163139211465
311661;1;"{""coordinates"": [-0.36076035968928916, 39.43236306097885], ""type"": ""Point""}";39.43236306097885, -0.36076035968928916
311663;1;"{""coordinates"": [-0.37141689084864965, 39.48213271225762], ""type"": ""Point""}";39.48213271225762, -0.37141689084864965
311664;1;"{""coordinates"": [-0.3676836235536677, 39.45292944648061], ""type"": ""Point""}";39.45292944648061, -0.3676836235536677
311665;1;"{""coordinates"": [-0.3751841457223381, 39.49098614711134], ""type"": ""Point""}";39.49098614711134, -0.3751841457223381
311668;1;"{""coordinates"": [-0.39280526725778614, 39.4497668677047], ""type"": ""Point""}";39.4497668677047, -0.39280526725778614
311671;1;"{""coordinates"": [-0.3790119031476912, 39.49776759170152], ""type"": ""Point""}";39.49776759170152, -0.3790119031476912
311679;1;"{""coordinates"": [-0.38689333814010063, 39.43927048191248], ""type"": ""Point""}";39.43927048191248, -0.38689333814010063
311680;1;"{""coordinates"": [-0.36012445556832373, 39.46126107782571], ""type"": ""Point""}";39.46126107782571, -0.36012445556832373
311681;1;"{""coordinates"": [-0.39076671854103057, 39.435009630960394], ""type"": ""Point""}";39.435009630960394, -0.39076671854103057
311682;1;"{""coordinates"": [-0.3908431105564874, 39.43481961012403], ""type"": ""Point""}";39.43481961012403, -0.3908431105564874
311683;1;"{""coordinates"": [-0.37733108647744223, 39.45107789714453], ""type"": ""Point""}";39.45107789714453, -0.37733108647744223
311689;1;"{""coordinates"": [-0.397533197138292, 39.45938457370445], ""type"": ""Point""}";39.45938457370445, -0.397533197138292
311693;1;"{""coordinates"": [-0.3821900512624207, 39.44936252950256], ""type"": ""Point""}";39.44936252950256, -0.3821900512624207
311699;1;"{""coordinates"": [-0.41000423072222275, 39.47168688465241], ""type"": ""Point""}";39.47168688465241, -0.41000423072222275
311704;1;"{""coordinates"": [-0.3568471932316313, 39.4868485250216], ""type"": ""Point""}";39.4868485250216, -0.3568471932316313
